name_abcd,sector,exposure_vnd,alignment_gap,npv_change,pd_change,trisk_stress_rank_pct,trisk_status,composite_score,composite_partial,severity_alignment,severity_trisk,composite_rank_pct,alignment_basis,data_source
Nghi Son Power LLC,power,1030000000000,37.06373409727998,-0.9805694832882812,0.21920083916590116,99.99999999999996,Covered b,0.9816483381,FALSE,0.9632966762159998,1,0.9565217391304348,Borrower-level PACTA market-share gap,mcb-demo
Vinacomin Power JSC,power,910000000000,37.06373409727998,-0.9805468670693348,0.21535187972478465,99.66089740326082,Covered b,0.9816483381,FALSE,0.9632966762159998,1,0.9565217391304348,Borrower-level PACTA market-share gap,mcb-demo
International Power Mong Duong,power,620000000000,37.06373409727998,-0.9805694832882812,0.210245004751494,99.21453224661798,Covered b,0.9816483381,FALSE,0.9632966762159998,1,0.9565217391304348,Borrower-level PACTA market-share gap,mcb-demo
EVN (Electricity of Vietnam),power,5770000000000,16.788911275713538,-0.6335244133903384,0.13836085378347251,61.78450784022313,Covered b,0.8348613909,FALSE,0.6697227818928384,1,0.8695652173913043,Borrower-level PACTA market-share gap,mcb-demo
Hoa Phat Group JSC,steel,900000000000,7.2,-0.5526472906995419,0.11703441427773756,95,Covered b,0.7852697045,FALSE,0.61,0.9605394089162849,0.8260869565217391,"Sector-level SDA gap (steel, 2030)",mcb-demo
Ford Motor Company,automotive,650000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710045,TRUE,0.7743710044722474,NA,0.7391304347826086,"PACTA market-share gap (PDP8, 2030)",mcb-demo
Hyundai Motor Company,automotive,550000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710045,TRUE,0.7743710044722474,NA,0.7391304347826086,"PACTA market-share gap (PDP8, 2030)",mcb-demo
THACO Industries,automotive,1200000000000,21.94968035777979,NA,NA,NA,N/A - sector not in TRISK pilot,0.7743710045,TRUE,0.7743710044722474,NA,0.7391304347826086,"PACTA market-share gap (PDP8, 2030)",mcb-demo
Honda Motor Co Ltd,automotive,250000000000,20,NA,NA,NA,N/A - sector not in TRISK pilot,0.75,TRUE,0.75,NA,0.6521739130434783,"PACTA market-share gap (PDP8, 2030)",mcb-demo
Dung Quat LNG Power Consortium,power,680000000000,12.842352438894226,-0.3663936919055033,0.06587927267357419,35.8567586335763,Covered b,0.6881934438,FALSE,0.5710588109723557,0.8053280765879194,0.6086956521739131,Borrower-level PACTA market-share gap,mcb-demo
PVN Power Corporation,power,2530000000000,10.488556472316295,-0.3975087548177775,0.08034926843866495,38.34673504700564,Covered b,0.6717356037,FALSE,0.5122139118079074,0.8312572956814812,0.5652173913043478,Borrower-level PACTA market-share gap,mcb-demo
Toyota Motor Corporation,automotive,850000000000,15.291968217965161,NA,NA,NA,N/A - sector not in TRISK pilot,0.6322992054,TRUE,0.632299205449129,NA,0.5217391304347826,"PACTA market-share gap (PDP8, 2030)",mcb-demo
VICEM,cement,1200000000000,2.1,-0.3476733179772608,0.06538552319362756,95,Covered b,0.5240305492,FALSE,0.25833333333333336,0.7897277649810507,0.4782608695652174,"Sector-level SDA gap (cement, 2030)",mcb-demo
Holcim Group,cement,800000000000,2.1,-0.31836790533012965,0.03790632681809358,5,Covered b,0.5118199606,FALSE,0.25833333333333336,0.7653065877751081,0.43478260869565216,"Sector-level SDA gap (cement, 2030)",mcb-demo
Vingroup JSC,automotive,1000000000000,8.571428571428566,NA,NA,NA,N/A - sector not in TRISK pilot,0.4285714286,TRUE,0.42857142857142827,NA,0.391304347826087,"PACTA market-share gap (PDP8, 2030)",mcb-demo
Vietnam Hydropower JSC,power,980000000000,19.98001998001998,-0.00459579424306488,4.45774167058155e-4,8.308738839472676,Covered b,0.3862397354,FALSE,0.7495004995004995,0.022978971215324398,0.34782608695652173,Borrower-level PACTA market-share gap,mcb-demo
Xuan Thien Group,power,650000000000,17.58241758241758,0.05334777342957981,-0.00797724262942178,2.744813836158589,Covered b,0.3447802198,FALSE,0.6895604395604396,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Trung Nam Group,power,870000000000,17.582417582417584,0.05334534772845224,-0.00817820378959,2.7273528495637005,Covered b,0.3447802198,FALSE,0.6895604395604396,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Thanh Thanh Cong Group,power,520000000000,17.582417582417584,0.05334767975022254,-0.00851514510005868,2.6976436648712196,Covered b,0.3447802198,FALSE,0.6895604395604396,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Gia Lai Electricity JSC,power,350000000000,17.58241758241758,0.0533480318636796,-0.00871495373996567,2.6800956913747696,Covered b,0.3447802198,FALSE,0.6895604395604396,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
BIM Group,power,380000000000,17.582417582417584,0.05334730089337843,-0.00879568838492184,2.673064382093741,Covered b,0.3447802198,FALSE,0.6895604395604396,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
T&T Group,power,480000000000,17.582417582417584,0.05334757134828303,-0.00883740621961912,2.6693872258682547,Covered b,0.3447802198,FALSE,0.6895604395604396,0,0.1956521739130435,Borrower-level PACTA market-share gap,mcb-demo
Pomina Group,steel,600000000000,7.2,0.16793033227739623,-0.02242575859043105,5,Covered b,0.305,FALSE,0.61,0,0.043478260869565216,"Sector-level SDA gap (steel, 2030)",mcb-demo
