id_loan,id_direct_loantaker,name_direct_loantaker,id_ultimate_parent,name_ultimate_parent,loan_size_outstanding,loan_size_outstanding_currency,loan_size_credit_limit,loan_size_credit_limit_currency,sector_classification_system,sector_classification_direct_loantaker,lei_direct_loantaker,isin_direct_loantaker,sector_classified,borderline_classified,id_2dii,level,sector,sector_abcd,name,name_abcd,score,source,borderline
VN_L043,VN_C043,Dong Bac Corporation,VN_UP025,Dong Bac Corporation,400000,VND,480000,VND,ISIC,B0510,NA,NA,coal,FALSE,DL4,direct_loantaker,coal,coal,Dong Bac Corporation,Dong Bac Corporation,1,loanbook,FALSE
VN_L001,VN_C001,Nhiet Dien Vinh Tan 1 JSC,VN_UP001,EVN (Electricity of Vietnam),800000,VND,960000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L002,VN_C002,Nhiet Dien Vinh Tan 4 JSC,VN_UP001,EVN (Electricity of Vietnam),650000,VND,780000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L003,VN_C003,Nhiet Dien Duyen Hai 1 JSC,VN_UP001,EVN (Electricity of Vietnam),720000,VND,864000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L004,VN_C004,Nhiet Dien Duyen Hai 3 JSC,VN_UP001,EVN (Electricity of Vietnam),540000,VND,648000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L005,VN_C005,Nhiet Dien Mong Duong 1 JSC,VN_UP002,Vinacomin Power JSC,480000,VND,576000,VND,ISIC,D3511,NA,NA,power,FALSE,UP23,ultimate_parent,power,power,Vinacomin Power JSC,Vinacomin Power JSC,1,loanbook,FALSE
VN_L006,VN_C006,Nhiet Dien Mong Duong 2 LLC,VN_UP003,International Power Mong Duong,620000,VND,744000,VND,ISIC,D3511,NA,NA,power,FALSE,UP11,ultimate_parent,power,power,International Power Mong Duong,International Power Mong Duong,1,loanbook,FALSE
VN_L007,VN_C007,Nhiet Dien Uong Bi JSC,VN_UP001,EVN (Electricity of Vietnam),380000,VND,456000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L008,VN_C008,Nhiet Dien Cam Pha JSC,VN_UP002,Vinacomin Power JSC,430000,VND,516000,VND,ISIC,D3511,NA,NA,power,FALSE,UP23,ultimate_parent,power,power,Vinacomin Power JSC,Vinacomin Power JSC,1,loanbook,FALSE
VN_L009,VN_C009,Nhiet Dien Vung Ang 1 JSC,VN_UP001,EVN (Electricity of Vietnam),590000,VND,708000,VND,ISIC,D3511,NA,NA,power,FALSE,UP4,ultimate_parent,power,power,EVN (Electricity of Vietnam),EVN (Electricity of Vietnam),1,loanbook,FALSE
VN_L010,VN_C010,Nhiet Dien Thai Binh 2 JSC,VN_UP004,PVN Power Corporation,780000,VND,936000,VND,ISIC,D3511,NA,NA,power,FALSE,UP13,ultimate_parent,power,power,PVN Power Corporation,PVN Power Corporation,1,loanbook,FALSE
