sector,technology,year,region,scenario_source,name_abcd,metric,production,technology_share,scope,percentage_of_initial_production_by_scope
automotive,electric,2025,vietnam,nze_2023,Ford Motor Company,projected,0,0,sector,0
automotive,electric,2025,vietnam,nze_2023,Ford Motor Company,target_nze_global,1000,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,nze_2023,Honda Motor Co Ltd,projected,0,0,sector,0
automotive,electric,2025,vietnam,nze_2023,Honda Motor Co Ltd,target_nze_global,360,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,nze_2023,Hyundai Motor Company,projected,0,0,sector,0
automotive,electric,2025,vietnam,nze_2023,Hyundai Motor Company,target_nze_global,900,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,nze_2023,THACO Industries,projected,0,0,sector,0
automotive,electric,2025,vietnam,nze_2023,THACO Industries,target_nze_global,2400,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,nze_2023,Toyota Motor Corporation,projected,0,0,sector,0
automotive,electric,2025,vietnam,nze_2023,Toyota Motor Corporation,target_nze_global,1280,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,nze_2023,Vingroup JSC,projected,45000,1,sector,0
automotive,electric,2025,vietnam,nze_2023,Vingroup JSC,target_nze_global,45900,0.9714285714285714,sector,0
automotive,electric,2025,vietnam,pdp8_2023,Ford Motor Company,projected,0,0,sector,0
automotive,electric,2025,vietnam,pdp8_2023,Ford Motor Company,target_pdp8_ndc,1000,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,pdp8_2023,Honda Motor Co Ltd,projected,0,0,sector,0
automotive,electric,2025,vietnam,pdp8_2023,Honda Motor Co Ltd,target_pdp8_ndc,360,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,pdp8_2023,Hyundai Motor Company,projected,0,0,sector,0
automotive,electric,2025,vietnam,pdp8_2023,Hyundai Motor Company,target_pdp8_ndc,900,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,pdp8_2023,THACO Industries,projected,0,0,sector,0
automotive,electric,2025,vietnam,pdp8_2023,THACO Industries,target_pdp8_ndc,2400,0.01904761904761905,sector,0
automotive,electric,2025,vietnam,pdp8_2023,Toyota Motor Corporation,projected,0,0,sector,0
